Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,18.451790,18.457300,15.977961,17.796143,12.463902,4296911
2015-01-01,17.796143,17.900826,16.363636,16.589531,11.623917,5279467
2015-02-01,16.721764,18.661158,16.446280,18.033056,12.641242,3662486
2015-03-01,18.049585,18.451790,16.749311,17.730026,12.775702,6200034
2015-04-01,17.933884,19.796143,17.922865,19.112947,13.778511,4446019
2015-05-01,19.112947,19.696968,17.774103,17.884296,12.898792,5221752
2015-06-01,17.823690,18.297520,17.267218,18.297520,13.202533,2757886
2015-07-01,18.209366,18.611570,16.369696,17.272726,12.468855,2884692
2015-08-01,17.212120,17.460606,14.442424,15.206060,10.981931,2233605
2015-09-01,15.060606,16.757574,14.430303,14.860606,10.880968,3102825
2015-10-01,14.909090,16.969696,14.709090,15.030303,11.011806,4887135
2015-11-01,15.030303,16.460606,15.030303,15.357575,11.258467,1929015
2015-12-01,15.496969,16.327272,14.454545,14.896969,10.927407,3801765
2016-01-01,14.896969,14.896969,13.024242,13.709090,10.143209,2893770
2016-02-01,13.757575,14.321212,13.248484,13.763636,10.189778,3898950
2016-03-01,13.939393,17.393938,13.890909,16.187878,12.347040,11926365
2016-04-01,16.030302,17.878786,15.278787,17.315151,13.215569,4292145
2016-05-01,17.509090,17.515150,15.296969,15.436363,11.788233,3775365
2016-06-01,15.448484,16.296968,14.848484,15.769696,12.049116,5169450
2016-07-01,15.824242,17.939392,15.472727,17.781818,13.594522,4820805
2016-08-01,17.812120,19.272726,17.575756,18.612122,14.237509,4846545
2016-09-01,18.763636,19.630302,18.321213,18.909090,14.662773,4155690
2016-10-01,18.993938,22.286667,18.878786,22.226665,17.243753,3854265
2016-11-01,22.326666,22.326666,19.420000,20.400000,15.834222,6367650
2016-12-01,19.453333,20.000000,18.186666,20.000000,15.530730,4697250
2017-01-01,19.700001,22.120001,19.573334,21.433332,16.933994,4505700
2017-02-01,21.473333,24.253332,21.133333,23.340000,18.449640,6116400
2017-03-01,23.333332,23.666666,21.913334,22.513332,18.198996,4235550
2017-04-01,22.506666,23.000000,21.713333,22.706667,18.363148,2572500
2017-05-01,22.706667,23.726665,20.186666,21.520000,17.411213,5910300
2017-06-01,21.520000,22.306665,21.146666,21.693333,17.559179,3978900
2017-07-01,21.706667,22.246666,21.333332,22.053333,17.858875,2201400
2017-08-01,22.333332,24.200001,22.299999,23.780001,19.266016,4230600
2017-09-01,23.966665,26.066666,23.793333,25.600000,20.991386,4188900
2017-10-01,25.600000,26.786667,25.066666,25.613333,21.011160,3249450
2017-11-01,25.646666,25.933332,24.306665,24.740000,20.302675,2272950
2017-12-01,24.740000,25.913334,24.053333,25.126665,20.628050,118497300
2018-01-01,25.126665,30.000000,25.126665,29.559999,24.372765,7967850
2018-02-01,29.600000,30.466665,28.613333,29.066666,23.975548,8482200
2018-03-01,29.126665,30.540001,28.780001,30.086666,26.028524,6307500
2018-04-01,30.080000,30.466665,28.806665,29.400000,25.443239,3404850
2018-05-01,29.400000,29.400000,25.139999,25.473333,22.052361,4122150
2018-06-01,25.500000,26.320000,22.333332,23.933332,20.726229,3870600
2018-07-01,23.920000,27.660000,23.559999,26.666666,23.102354,2739300
2018-08-01,26.453333,27.333332,24.406666,24.933332,21.609734,3392100
2018-09-01,24.900000,25.986666,24.360001,25.133333,22.148926,4072200
2018-10-01,25.133333,29.520000,24.973333,28.260000,24.914324,7401450
2018-11-01,28.139999,31.299999,28.139999,30.860001,27.217337,3790250
2018-12-01,31.330000,31.490000,28.559999,30.049999,26.512327,5034000
2019-01-01,30.049999,33.000000,30.049999,32.869999,29.035187,6644100
2019-02-01,32.759998,33.470001,30.840000,31.110001,27.494246,28828500
2019-03-01,31.500000,32.610001,28.620001,29.850000,27.250759,8325400
2019-04-01,30.070000,30.200001,28.040001,29.350000,26.807215,4530900
2019-05-01,29.350000,30.440001,27.190001,30.110001,27.515198,6374400
2019-06-01,30.110001,31.260000,28.980000,31.129999,28.461849,7021700
2019-07-01,31.420000,32.090000,29.770000,29.900000,27.350899,9493600
2019-08-01,30.110001,32.240002,28.450001,29.900000,27.364082,8943300
2019-09-01,29.770000,31.580000,28.650000,30.120001,28.088757,21025200
2019-10-01,30.170000,31.990000,28.040001,31.170000,29.082529,14683500
2019-11-01,31.190001,32.590000,29.629999,29.959999,27.967484,8424800
2019-12-01,30.049999,32.400002,30.010000,32.029999,29.914227,9327500
2020-01-01,32.029999,32.790001,29.059999,29.440001,27.542503,13676300
2020-02-01,29.559999,31.639999,27.709999,28.610001,26.778536,17565400
2020-03-01,28.690001,29.040001,19.459999,22.080000,21.008951,60133400
2020-04-01,21.500000,23.680000,19.500000,22.000000,20.943802,19295200
2020-05-01,22.000000,23.150000,20.040001,21.940001,20.900888,19178600
2020-06-01,21.969999,26.719999,21.610001,24.000000,22.878923,28425800
2020-07-01,24.160000,26.200001,23.910000,24.900000,23.753120,11723800
2020-08-01,25.350000,25.520000,22.559999,22.559999,21.534359,12243500
2020-09-01,22.870001,24.100000,21.219999,21.379999,20.467527,12840400
2020-10-01,21.469999,24.129999,21.100000,21.980000,21.055918,14877400
2020-11-01,21.980000,26.930000,21.980000,25.760000,24.694324,15094500
2020-12-01,26.200001,28.600000,25.920000,27.930000,26.792841,16690700
2021-01-01,27.930000,29.379999,25.180000,25.820000,24.840101,11432300
2021-02-01,26.340000,26.590000,23.219999,23.370001,22.538494,14437400
2021-03-01,23.650000,25.510000,21.950001,25.110001,24.381302,15149900
2021-04-01,25.139999,25.240000,23.920000,24.459999,23.813927,10115700
2021-05-01,24.690001,26.629999,23.709999,26.570000,25.944208,12099100
2021-06-01,27.000000,30.150000,26.549999,26.740000,26.174845,15790000
2021-07-01,26.700001,28.010000,25.580000,27.469999,26.904608,13513100
2021-08-01,27.780001,28.910000,26.920000,28.629999,28.056467,28105800
2021-09-01,28.650000,29.209999,25.010000,27.000000,26.572409,48506900
2021-10-01,27.049999,27.850000,20.610001,21.030001,20.707802,38502200
2021-11-01,21.219999,22.270000,19.740000,20.049999,19.753790,22206100
